,Text Type,Accent,Speed,wer
0,1,French,1.0,0.6336633663366337
1,2,French,1.0,0.48148148148148145
2,3,French,1.0,0.6666666666666666
3,4,French,1.0,0.4262295081967213
4,5,French,1.0,0.45794392523364486
5,1,Japanese,1.0,0.7425742574257426
6,2,Japanese,1.0,0.8296296296296296
7,3,Japanese,1.0,0.803921568627451
8,4,Japanese,1.0,0.6721311475409836
9,5,Japanese,1.0,0.8037383177570093
10,1,Korean,1.0,0.801980198019802
11,2,Korean,1.0,0.725925925925926
12,3,Korean,1.0,0.8823529411764706
13,4,Korean,1.0,0.5737704918032787
14,5,Korean,1.0,0.616822429906542
15,1,Spanish,1.0,0.7326732673267327
16,2,Spanish,1.0,0.4148148148148148
17,3,Spanish,1.0,0.45098039215686275
18,4,Spanish,1.0,0.2786885245901639
19,5,Spanish,1.0,0.42990654205607476
20,1,UKS,1.0,0.26732673267326734
21,2,UKS,1.0,0.14814814814814814
22,3,UKS,1.0,0.2549019607843137
23,4,UKS,1.0,0.14754098360655737
24,5,UKS,1.0,0.07476635514018691
25,1,USS,1.0,0.3069306930693069
26,2,USS,1.0,0.14814814814814814
27,3,USS,1.0,0.2549019607843137
28,4,USS,1.0,0.06557377049180328
29,5,USS,1.0,0.07476635514018691
30,1,USS,0.5,0.3465346534653465
31,2,USS,0.5,0.17037037037037037
32,3,USS,0.5,0.23529411764705882
33,4,USS,0.5,0.06557377049180328
34,5,USS,0.5,0.07476635514018691
35,1,USS,0.8,0.3069306930693069
36,2,USS,0.8,0.17777777777777778
37,3,USS,0.8,0.2549019607843137
38,4,USS,0.8,0.06557377049180328
39,5,USS,0.8,0.08411214953271028
40,1,USS,1.0,0.3069306930693069
41,2,USS,1.0,0.14814814814814814
42,3,USS,1.0,0.2549019607843137
43,4,USS,1.0,0.06557377049180328
44,5,USS,1.0,0.07476635514018691
45,1,USS,1.2,0.3069306930693069
46,2,USS,1.2,0.16296296296296298
47,3,USS,1.2,0.2549019607843137
48,4,USS,1.2,0.06557377049180328
49,5,USS,1.2,0.08411214953271028
50,1,USS,1.5,0.297029702970297
51,2,USS,1.5,0.15555555555555556
52,3,USS,1.5,0.2549019607843137
53,4,USS,1.5,0.06557377049180328
54,5,USS,1.5,0.08411214953271028
